iteration, trainLoss, valLoss, testLoss, trainAcc, valAcc, testAcc
0, 1.382, 1.374, 1.381, 0.231, 0.188, 0.357
47, 0.716, 0.699, 0.821, 0.729, 0.743, 0.683
94, 0.633, 0.689, 0.712, 0.761, 0.756, 0.721
141, 0.598, 0.666, 0.637, 0.772, 0.763, 0.743
188, 0.575, 0.636, 0.611, 0.775, 0.762, 0.759
235, 0.562, 0.591, 0.604, 0.782, 0.783, 0.766
282, 0.530, 0.585, 0.589, 0.794, 0.791, 0.778
329, 0.513, 0.544, 0.571, 0.802, 0.804, 0.786
376, 0.498, 0.533, 0.552, 0.807, 0.807, 0.799
423, 0.476, 0.521, 0.528, 0.816, 0.814, 0.805
470, 0.462, 0.497, 0.535, 0.821, 0.824, 0.803
517, 0.449, 0.487, 0.520, 0.825, 0.824, 0.811
564, 0.428, 0.479, 0.474, 0.836, 0.825, 0.836
611, 0.417, 0.506, 0.470, 0.839, 0.817, 0.834
658, 0.387, 0.511, 0.395, 0.850, 0.818, 0.866
705, 0.356, 0.450, 0.376, 0.864, 0.850, 0.872
752, 0.320, 0.373, 0.376, 0.877, 0.878, 0.873
799, 0.318, 0.354, 0.387, 0.877, 0.880, 0.872
846, 0.290, 0.351, 0.338, 0.886, 0.878, 0.886
893, 0.302, 0.365, 0.378, 0.880, 0.881, 0.866
940, 0.277, 0.331, 0.336, 0.888, 0.889, 0.883
987, 0.244, 0.319, 0.279, 0.902, 0.894, 0.908
1034, 0.220, 0.302, 0.241, 0.909, 0.900, 0.921
1081, 0.221, 0.292, 0.238, 0.909, 0.900, 0.921
1128, 0.234, 0.294, 0.303, 0.905, 0.901, 0.902
1175, 0.259, 0.293, 0.362, 0.899, 0.906, 0.884
1222, 0.288, 0.285, 0.426, 0.886, 0.909, 0.861
1269, 0.222, 0.251, 0.282, 0.909, 0.914, 0.907
1316, 0.206, 0.229, 0.248, 0.915, 0.924, 0.921
